label	source_table	source_column	usage_count
/b>WAN	config_position	attribute_label	1
Accessory Attachments	config_position	attribute_label	1
Activation	config_position	attribute_label	1
Additional Feature	config_position	attribute_label	1
Additional Features	config_position	attribute_label	1
Additional Radios	config_position	attribute_label	1
Additional Software	config_position	attribute_label	1
Additonal Features	config_position	attribute_label	1
Add�l Features Key	config_position	attribute_label	1
Advanced Features	config_position	attribute_label	1
Aimer Laser Class	config_position	attribute_label	1
All-Touch TE Pre-load	config_position	attribute_label	1
Antenna	config_position	attribute_label	1
Antenna /  Mounting	config_position	attribute_label	1
Antenna Assembly	config_position	attribute_label	1
Antenna Options	config_position	attribute_label	1
Antenna Ports	config_position	attribute_label	1
Application	config_position	attribute_label	1
Applications	config_position	attribute_label	1
Attribute	config_position	attribute_label	1
Audio	config_position	attribute_label	1
Auto Switch Screen Blanking	config_position	attribute_label	1
BATTERY	config_position	attribute_label	1
BCR	config_position	attribute_label	1
BLANK COLUMN	config_position	attribute_label	1
BT on board	config_position	attribute_label	1
BUILT-IN OUTPUT DEVICES	config_position	attribute_label	1
Back Cover	config_position	attribute_label	1
Back I/O Connector	config_position	attribute_label	1
Back IO Connector	config_position	attribute_label	1
Base	config_position	attribute_label	1
Base Model	config_position	attribute_label	1
Base Printer	config_position	attribute_label	1
Base Service Type	config_position	attribute_label	1
Basic Features	config_position	attribute_label	1
Battery	config_position	attribute_label	1
Battery & Camera	config_position	attribute_label	1
Battery / Corded Option	config_position	attribute_label	1
Battery Capacity	config_position	attribute_label	1
Battery Options	config_position	attribute_label	1
Battery Swap	config_position	attribute_label	1
Battery and Battery Door	config_position	attribute_label	1
Battery and Camera	config_position	attribute_label	1
Blank	config_position	attribute_label	1
Bluetooth	config_position	attribute_label	1
Branding	config_position	attribute_label	1
CABLE	config_position	attribute_label	1
CELULAR RADIOS	config_position	attribute_label	1
COLOR	config_position	attribute_label	1
CPU	config_position	attribute_label	1
CPU & Memory	config_position	attribute_label	1
CPU Memory	config_position	attribute_label	1
CPU Suffix	config_position	attribute_label	1
CPU and Memory	config_position	attribute_label	1
CPU memory	config_position	attribute_label	1
CPU/Memory	config_position	attribute_label	1
CPU/RAM	config_position	attribute_label	1
CUSTOM	config_position	attribute_label	1
Cable	config_position	attribute_label	1
Cable Option	config_position	attribute_label	1
Camera	config_position	attribute_label	1
Camera (Back Facing)	config_position	attribute_label	1
Camera (Front Facing)	config_position	attribute_label	1
Camera Option	config_position	attribute_label	1
Camera Type	config_position	attribute_label	1
Carrier	config_position	attribute_label	1
Category	config_position	attribute_label	1
Channel Type	config_position	attribute_label	1
Character Set	config_position	attribute_label	1
Color	config_position	attribute_label	1
Color Key	config_position	attribute_label	1
Com Port	config_position	attribute_label	1
Communication	config_position	attribute_label	1
Communications	config_position	attribute_label	1
Compact Flash	config_position	attribute_label	1
Compact Flash Radio or RFID	config_position	attribute_label	1
Companion KB	config_position	attribute_label	1
Companion Keyboard	config_position	attribute_label	1
Compliance	config_position	attribute_label	1
Config	config_position	attribute_label	1
Configuration	config_position	attribute_label	1
Connection	config_position	attribute_label	1
Connectivity	config_position	attribute_label	1
Connector	config_position	attribute_label	1
Connectors	config_position	attribute_label	1
Contactless (RFID)	config_position	attribute_label	1
Control Panel	config_position	attribute_label	1
Cordless	config_position	attribute_label	1
Cordless/Radio	config_position	attribute_label	1
Cordless/Radio Option	config_position	attribute_label	1
