label	source_table	source_column	usage_count
(600 dpi)	config_option	description	1
-20oC Operation	config_option	description	1
-30oC Operation	config_option	description	1
0	config_option	description	1
0oC Operation	config_option	description	1
1 /8 G SLC	config_option	description	1
1 Antenna	config_option	description	1
1 GB RAM	config_option	description	1
1 GB RAM / 4GB Flash	config_option	description	1
1 GB RAM / 8GB Flash	config_option	description	1
1 GB RAM/ 4 GB FLASH	config_option	description	1
1 GB RAM/ 4 GB Flash	config_option	description	1
1 GB RAM/8 GB FLASH	config_option	description	1
1 GB ram and 8 GB flash	config_option	description	1
1 GHz AMD G-T40E Dual Core	config_option	description	1
1 GHz AMD G-T40R	config_option	description	1
1 Nano & 1 eSIM	config_option	description	1
1 NanoSIM	config_option	description	1
1 NanoSIM + 1 eSIM	config_option	description	1
1 Physical SIM	config_option	description	1
1 SAM/ No SIM (LAN ONLY QC 8056	config_option	description	1
1 TB PCIE SSD	config_option	description	1
1 TB SSD	config_option	description	1
1 Talk Group for  6 Months	config_option	description	1
1 Talk Group for 1 Month	config_option	description	1
1 Talk Group for 12 Months	config_option	description	1
1 Talk Group for 24 Months	config_option	description	1
1 Talk Group for 3 Months	config_option	description	1
1 Talk Group for 36 Months	config_option	description	1
1 Unit	config_option	description	1
1 User for  6 Months	config_option	description	1
1 User for 1 Month	config_option	description	1
1 User for 12 Months	config_option	description	1
1 User for 24 Months	config_option	description	1
1 User for 3 Months	config_option	description	1
1 User for 36 Months	config_option	description	1
1 User for 48 Months	config_option	description	1
1 User for 6 Months	config_option	description	1
1 physical SIM and 1 eSIM	config_option	description	1
1 x USB-C	config_option	description	1
1,000-2,499 Users	config_option	description	1
1-49 Users	config_option	description	1
1.0 mp	config_option	description	1
1.1 GHz Intel Atom	config_option	description	1
1.5X Extended Capacity	config_option	description	1
1.5x Battery - 3600 mA battery	config_option	description	1
1.8ghz	config_option	description	1
10 Inch SVGA (800x600)	config_option	description	1
10 Keys	config_option	description	1
10 Pack	config_option	description	1
10 Units	config_option	description	1
"10"" (1024 x 768)"	config_option	description	1
10,000-14,999 Users	config_option	description	1
10.1 in. screen	config_option	description	1
10.1Inch WUXGA Display	config_option	description	1
100-240V - no power cord (Must order power extension cord separately)	config_option	description	1
100-249 Users	config_option	description	1
12 Inch XGA (1024x768)	config_option	description	1
12 MP	config_option	description	1
12 dot/mm (300 dpi)	config_option	description	1
12.5 KHz � 1 w	config_option	description	1
12.5 KHz � � w	config_option	description	1
12.5 KHz, 1 Watt	config_option	description	1
12.5 KHz, 1/2 Watt	config_option	description	1
12.5KHZ � 1 w	config_option	description	1
12.5KHZ � 1/2 W	config_option	description	1
12.5KHZ � � w	config_option	description	1
12.5KHz - 1 W	config_option	description	1
12.5KHz - 1/2 Watt	config_option	description	1
12/24V	config_option	description	1
1224 Standard Range Scan Engine	config_option	description	1
128 GB PCIE SSD	config_option	description	1
128 GB SSD	config_option	description	1
128 MB SDRAM; 128 MB Flash	config_option	description	1
128 MB SDRAM; 64 MB Flash	config_option	description	1
128GB PCIe SSD	config_option	description	1
128MB / 64MB	config_option	description	1
128MB Flash, 128MB RAM	config_option	description	1
128MB RAM / 256MB Flash	config_option	description	1
128MB RAM / 64MB ROM	config_option	description	1
128MB RAM/ 256MB Flash (Batch configs only)	config_option	description	1
128MB RAM/ 512MB Flash (WLAN configs only)	config_option	description	1
128MB RAM/128MB Flash	config_option	description	1
128MB/512MB	config_option	description	1
128MB/512MB W/HF RFID	config_option	description	1
128MB/64MB	config_option	description	1
13 MP Color Camera	config_option	description	1
13 MP Rear Camera, 5MP Front Camera	config_option	description	1
1300mAh	config_option	description	1
13MP Side 5MP Front Camera	config_option	description	1
13MP Side Camera only	config_option	description	1
